"","SRR33482787","SRR33482788","SRR33482795","SRR33482806","SRR33482817","SRR33482818"
"AT1G01760",34.0503956438149,46.6775030245768,39.1686959854764,37.76820264754,45.8342460272219,36.2747705173168
"AT1G47480",40.67130590789,44.5064563722709,21.9726831138039,61.6218043196705,90.6932953304603,101.770883951361
"AT1G65820",1620.23132605152,1438.31840715266,1688.07526356919,1579.30721070897,1434.51438097965,1423.78474280469
"AT1G22900",19.8627307922253,24.9670365015178,6.68733833898378,31.8048022295074,33.1566886154371,30.2289754310974
"AT1G76820",13.2418205281502,14.1118032399883,21.9726831138039,15.9024011147537,13.6527541357682,11.083957658069
"AT1G52080",17.9710421453467,18.4538965446001,23.8833512106564,18.88410132377,14.6279508597517,13.0992226868089
"AT1G35180",161.739379308121,115.065472572213,210.173490653776,135.170409475406,133.601951185732,130.992226868089
"AT1G30070",200.518996569132,133.519369116813,191.066809685251,290.218820344255,185.287377556854,157.190672241706
"AT1G35210",16.0793534984681,13.0262799138354,5.73200429055753,1.98780013934421,0.975196723983445,7.05342760058938
"AT1G10410",437.925921752397,457.005320310392,551.227745941949,451.230631631136,335.467673050305,408.091168319814
"AT1G73740",78.505078845462,72.7300628522476,51.5880386150178,17.8902012540979,44.8590493032385,46.3510956610159
"AT1G53350",9.45844323439302,24.9670365015178,14.3300107263938,28.823102020491,32.1814918914537,26.1984453736177
"AT1G34110",87.0176777564158,142.203555726036,106.042079375314,118.27410829098,112.147623258096,130.992226868089
"AT1G17240",12.2959762047109,10.8552332615295,4.77667024213127,6.95730048770473,10.7271639638179,14.1068552011788
"AT1G61730",254.432123005172,208.420478621366,200.620150169513,278.292019508189,284.757443403166,297.251591739124
"AT1G29260",120.122229076791,100.953669332224,146.166109409217,94.4205066188499,80.9413280906259,72.5495410346337
"AT1G08040",227.002637625432,222.532281861355,234.056841864432,113.30460794262,109.222033086146,85.6487637214425
"AT1G08810",69.9924799345083,61.8748295907181,106.997413423741,93.4266065491778,99.4700658463114,84.6411312070726
"AT1G09210",1958.84359384279,1666.27830564478,1217.09557769505,1918.22713446716,1652.95844715194,1776.45612283415
"AT1G10522",674.387002612222,395.130490719674,371.624944837813,251.456717627043,302.310984434868,245.862333506259
